date,country,D,H,I,M,S
2021-05-08,Japan,8,0,1,112,0
2021-05-09,Afghanistan,1,0,0,35,1
2021-05-09,Sweden,0,0,0,9,0
2021-05-09,Japan,8,0,1,112,0
2021-05-10,Afghanistan,1,0,0,35,1
2021-05-10,Sweden,0,0,0,9,0
2021-05-10,Japan,8,0,0,113,0
2021-05-11,Afghanistan,1,0,0,35,1
2021-05-11,Sweden,0,0,0,9,0
2021-05-11,Japan,8,0,0,113,0
2021-05-12,Afghanistan,1,0,0,35,1
2021-05-12,Sweden,0,0,0,9,0
2021-05-12,Japan,8,0,0,113,0
2021-05-13,Afghanistan,1,0,0,35,1
2021-05-13,Sweden,0,0,0,9,0
2021-05-13,Japan,8,0,0,113,0
2021-05-14,Afghanistan,1,0,0,35,1
2021-05-14,Sweden,0,0,0,9,0
2021-05-14,Japan,8,0,0,113,0
2021-05-15,Afghanistan,1,0,0,36,0
2021-05-15,Sweden,0,0,0,9,0
2021-05-15,Japan,8,0,0,113,0
2021-05-16,Afghanistan,1,0,0,36,0
2021-05-16,Sweden,0,0,0,9,0
2021-05-16,Japan,8,0,0,113,0
2021-05-17,Afghanistan,1,0,0,36,0
2021-05-17,Sweden,0,0,0,9,0
2021-05-17,Japan,8,0,0,113,0
2021-05-18,Afghanistan,1,0,0,36,0
2021-05-18,Sweden,0,0,0,9,0
2021-05-18,Japan,8,0,0,113,0
2021-05-19,Afghanistan,1,0,0,36,0
2021-05-19,Sweden,0,0,0,9,0
2021-05-19,Japan,8,0,0,113,0
2021-05-20,Afghanistan,1,0,0,36,0
2021-05-20,Sweden,0,0,0,9,0
2021-05-20,Japan,8,0,0,113,0
2021-05-21,Afghanistan,1,0,0,36,0
2021-05-21,Sweden,0,0,0,9,0
2021-05-21,Japan,8,0,0,113,0
2021-05-22,Afghanistan,1,0,0,36,0
2021-05-22,Sweden,0,0,0,9,0
2021-05-22,Japan,8,0,0,113,0
2021-05-23,Afghanistan,1,0,0,36,0
2021-05-23,Sweden,0,0,0,9,0
2021-05-23,Japan,8,0,0,113,0
2021-05-24,Afghanistan,1,0,0,36,0
2021-05-24,Sweden,0,0,0,9,0
2021-05-24,Japan,8,0,0,113,0
2021-05-25,Afghanistan,1,0,0,36,0
2021-05-25,Sweden,0,0,0,9,0
2021-05-25,Japan,8,0,0,113,0
2021-05-26,Afghanistan,1,0,0,36,0
2021-05-26,Sweden,0,0,0,9,0
2021-05-26,Japan,8,0,0,113,0
2021-05-27,Afghanistan,1,0,0,36,0
2021-05-27,Sweden,0,0,0,9,0
2021-05-27,Japan,8,0,0,113,0
2021-05-28,Afghanistan,1,0,0,36,0
2021-05-28,Sweden,0,0,0,9,0
2021-05-28,Japan,8,0,0,113,0
2021-05-29,Afghanistan,1,0,0,36,0
2021-05-29,Sweden,0,0,0,9,0
2021-05-29,Japan,8,0,0,113,0
2021-05-30,Afghanistan,1,0,0,36,0
2021-05-30,Sweden,0,0,0,9,0
2021-05-30,Japan,8,0,0,113,0
2021-05-31,Afghanistan,1,0,0,36,0
2021-05-31,Sweden,0,0,0,9,0
2021-05-31,Japan,8,0,0,113,0
2021-06-01,Afghanistan,1,0,0,36,0
2021-06-01,Sweden,0,0,0,9,0
2021-06-01,Japan,8,0,0,113,0
2021-06-02,Afghanistan,1,0,0,36,0
2021-06-02,Sweden,0,0,0,9,0
2021-06-02,Japan,8,0,0,113,0
2021-06-03,Afghanistan,1,0,0,36,0
2021-06-03,Sweden,0,0,0,9,0
2021-06-03,Japan,8,0,0,113,0
2021-06-04,Afghanistan,1,0,0,36,0
2021-06-04,Sweden,0,0,0,9,0
2021-06-04,Japan,8,0,0,113,0
2021-06-05,Afghanistan,1,0,0,36,0
2021-06-05,Sweden,0,0,0,9,0
2021-06-05,Japan,8,0,0,113,0
2021-06-06,Afghanistan,1,0,0,36,0
2021-06-06,Sweden,0,0,0,9,0
2021-06-06,Japan,8,0,0,113,0
2021-06-07,Afghanistan,1,0,0,36,0
2021-06-07,Sweden,0,0,0,9,0
2021-06-07,Japan,8,0,0,113,0
2021-06-08,Afghanistan,1,0,0,36,0
2021-06-08,Sweden,0,0,0,9,0
2021-06-08,Japan,8,0,0,113,0
2021-06-09,Afghanistan,1,0,0,36,0
2021-06-09,Sweden,0,0,0,9,0
2021-06-09,Japan,8,0,0,113,0
2021-06-10,Afghanistan,1,0,0,36,0
2021-06-10,Sweden,0,0,0,9,0
2021-06-10,Japan,8,0,0,113,0
2021-06-11,Afghanistan,1,0,0,36,0
2021-06-11,Sweden,0,0,0,9,0
2021-06-11,Japan,8,0,0,113,0
2021-06-12,Afghanistan,1,0,0,36,0
2021-06-12,Sweden,0,0,0,9,0
2021-06-12,Japan,8,0,0,113,0
2021-06-13,Afghanistan,1,0,0,36,0
2021-06-13,Sweden,0,0,0,9,0
2021-06-13,Japan,8,0,0,113,0
2021-06-14,Afghanistan,1,0,0,36,0
2021-06-14,Sweden,0,0,0,9,0
2021-06-14,Japan,8,0,0,113,0
2021-06-15,Afghanistan,1,0,0,36,0
2021-06-15,Sweden,0,0,0,9,0
2021-06-15,Japan,8,0,0,113,0
2021-06-16,Afghanistan,1,0,0,36,0
2021-06-16,Sweden,0,0,0,9,0
2021-06-16,Japan,8,0,0,113,0
2021-06-17,Afghanistan,1,0,0,36,0
2021-06-17,Sweden,0,0,0,9,0
2021-06-17,Japan,8,0,0,113,0
2021-06-18,Afghanistan,1,0,0,36,0
2021-06-18,Sweden,0,0,0,9,0
2021-06-18,Japan,8,0,0,113,0
2021-06-19,Afghanistan,1,0,0,36,0
2021-06-19,Sweden,0,0,0,9,0
2021-06-19,Japan,8,0,0,113,0
2021-06-20,Afghanistan,1,0,0,36,0
2021-06-20,Sweden,0,0,0,9,0
2021-06-20,Japan,8,0,0,113,0
2021-06-21,Afghanistan,1,0,0,36,0
2021-06-21,Sweden,0,0,0,9,0
2021-06-21,Japan,8,0,0,113,0
2021-06-22,Afghanistan,1,0,0,36,0
2021-06-22,Sweden,0,0,0,9,0
2021-06-22,Japan,8,0,0,113,0
2021-06-23,Afghanistan,1,0,0,36,0
2021-06-23,Sweden,0,0,0,9,0
2021-06-23,Japan,8,0,0,113,0
2021-06-24,Afghanistan,1,0,0,36,0
2021-06-24,Sweden,0,0,0,9,0
2021-06-24,Japan,8,0,0,113,0
2021-06-25,Afghanistan,1,0,0,36,0
2021-06-25,Sweden,0,0,0,9,0
2021-06-25,Japan,8,0,0,113,0
2021-06-26,Afghanistan,1,0,0,36,0
2021-06-26,Sweden,0,0,0,9,0
2021-06-26,Japan,8,0,0,113,0
2021-06-27,Afghanistan,1,0,0,36,0
2021-06-27,Sweden,0,0,0,9,0
2021-06-27,Japan,8,0,0,113,0
2021-06-28,Afghanistan,1,0,0,36,0
2021-06-28,Sweden,0,0,0,9,0
2021-06-28,Japan,8,0,0,113,0
2021-06-29,Afghanistan,1,0,0,36,0
2021-06-29,Sweden,0,0,0,9,0
2021-06-29,Japan,8,0,0,113,0
2021-06-30,Afghanistan,1,0,0,36,0
2021-06-30,Sweden,0,0,0,9,0
2021-06-30,Japan,8,0,0,113,0
2021-07-01,Afghanistan,1,0,0,36,0
2021-07-01,Sweden,0,0,0,9,0
2021-07-01,Japan,8,0,0,113,0
2021-07-02,Afghanistan,1,0,0,36,0
2021-07-02,Sweden,0,0,0,9,0
2021-07-02,Japan,8,0,0,113,0
2021-07-03,Afghanistan,1,0,0,36,0
2021-07-03,Sweden,0,0,0,9,0
2021-07-03,Japan,8,0,0,113,0
2021-07-04,Afghanistan,1,0,0,36,0
2021-07-04,Sweden,0,0,0,9,0
2021-07-04,Japan,8,0,0,113,0
2021-07-05,Afghanistan,1,0,0,36,0
2021-07-05,Sweden,0,0,0,9,0
2021-07-05,Japan,8,0,0,113,0
2021-07-06,Afghanistan,1,0,0,36,0
2021-07-06,Sweden,0,0,0,9,0
2021-07-06,Japan,8,0,0,113,0
2021-07-07,Afghanistan,1,0,0,36,0
2021-07-07,Sweden,0,0,0,9,0
2021-07-07,Japan,8,0,0,113,0
2021-07-08,Afghanistan,1,0,0,36,0
2021-07-08,Sweden,0,0,0,9,0
2021-07-08,Japan,8,0,0,113,0
2021-07-09,Afghanistan,1,0,0,36,0
2021-07-09,Sweden,0,0,0,9,0
2021-07-09,Japan,8,0,0,113,0
2021-07-10,Afghanistan,1,0,0,36,0
2021-07-10,Sweden,0,0,0,9,0
2021-07-10,Japan,8,0,0,113,0
2021-07-11,Afghanistan,1,0,0,36,0
2021-07-11,Sweden,0,0,0,9,0
2021-07-11,Japan,8,0,0,113,0
2021-07-12,Afghanistan,1,0,0,36,0
2021-07-12,Sweden,0,0,0,9,0
2021-07-12,Japan,8,0,0,113,0
2021-07-13,Afghanistan,1,0,0,36,0
2021-07-13,Sweden,0,0,0,9,0
2021-07-13,Japan,8,0,0,113,0
2021-07-14,Afghanistan,1,0,0,36,0
2021-07-14,Sweden,0,0,0,9,0
2021-07-14,Japan,8,0,0,113,0
2021-07-15,Afghanistan,1,0,0,36,0
2021-07-15,Sweden,0,0,0,9,0
2021-07-15,Japan,8,0,0,113,0
2021-07-16,Afghanistan,1,0,0,36,0
2021-07-16,Sweden,0,0,0,9,0
2021-07-16,Japan,8,0,0,113,0
2021-07-17,Afghanistan,1,0,0,36,0
2021-07-17,Sweden,0,0,0,9,0
2021-07-17,Japan,8,0,0,113,0
2021-07-18,Afghanistan,1,0,0,36,0
2021-07-18,Sweden,0,0,0,9,0
2021-07-18,Japan,8,0,0,113,0
2021-07-19,Afghanistan,1,0,0,36,0
2021-07-19,Sweden,0,0,0,9,0
2021-07-19,Japan,8,0,0,113,0
2021-07-20,Afghanistan,1,0,0,36,0
2021-07-20,Sweden,0,0,0,9,0
2021-07-20,Japan,8,0,0,113,0
2021-07-21,Afghanistan,1,0,0,36,0
2021-07-21,Sweden,0,0,0,9,0
2021-07-21,Japan,8,0,0,113,0
2021-07-22,Afghanistan,1,0,0,36,0
2021-07-22,Sweden,0,0,0,9,0
2021-07-22,Japan,8,0,0,113,0
2021-07-23,Afghanistan,1,0,0,36,0
2021-07-23,Sweden,0,0,0,9,0
2021-07-23,Japan,8,0,0,113,0
2021-07-24,Afghanistan,1,0,0,36,0
2021-07-24,Sweden,0,0,0,9,0
2021-07-24,Japan,8,0,0,113,0
2021-07-25,Afghanistan,1,0,0,36,0
2021-07-25,Sweden,0,0,0,9,0
2021-07-25,Japan,8,0,0,113,0
2021-07-26,Afghanistan,1,0,0,36,0
2021-07-26,Sweden,0,0,0,9,0
2021-07-26,Japan,8,0,0,113,0
2021-07-27,Afghanistan,1,0,0,36,0
2021-07-27,Sweden,0,0,0,9,0
2021-07-27,Japan,8,0,0,113,0
2021-07-28,Afghanistan,1,0,0,36,0
2021-07-28,Sweden,0,0,0,9,0
2021-07-28,Japan,8,0,0,113,0
2021-07-29,Afghanistan,1,0,0,36,0
2021-07-29,Sweden,0,0,0,9,0
2021-07-29,Japan,8,0,0,113,0
2021-07-30,Afghanistan,1,0,0,36,0
2021-07-30,Sweden,0,0,0,9,0
2021-07-30,Japan,8,0,0,113,0
2021-07-31,Afghanistan,1,0,0,36,0
2021-07-31,Sweden,0,0,0,9,0
2021-07-31,Japan,8,0,0,113,0
2021-08-01,Afghanistan,1,0,0,36,0
2021-08-01,Sweden,0,0,0,9,0
2021-08-01,Japan,8,0,0,113,0
2021-08-02,Afghanistan,1,0,0,36,0
2021-08-02,Sweden,0,0,0,9,0
2021-08-02,Japan,8,0,0,113,0
2021-08-03,Afghanistan,1,0,0,36,0
2021-08-03,Sweden,0,0,0,9,0
2021-08-03,Japan,8,0,0,113,0
2021-08-04,Afghanistan,1,4,0,32,0
2021-08-04,Sweden,0,1,0,8,0
2021-08-04,Japan,8,20,0,93,0
2021-08-05,Afghanistan,1,7,1,28,0
2021-08-05,Sweden,0,2,0,7,0
2021-08-05,Japan,8,23,7,83,0
2021-08-06,Afghanistan,1,8,2,26,0
2021-08-06,Sweden,0,3,1,5,0
2021-08-06,Japan,8,26,14,73,0
2021-08-07,Afghanistan,1,8,4,24,0
2021-08-07,Sweden,0,2,3,4,0
2021-08-07,Japan,8,22,20,71,0
2021-08-08,Afghanistan,1,6,6,24,0
2021-08-08,Sweden,0,1,4,4,0
2021-08-08,Japan,8,22,25,66,0
2021-08-09,Afghanistan,1,5,6,24,1
2021-08-09,Sweden,0,1,4,4,0
2021-08-09,Japan,8,19,25,67,2
2021-08-10,Afghanistan,1,3,7,24,2
2021-08-10,Sweden,0,0,4,5,0
2021-08-10,Japan,8,18,22,67,6
2021-08-11,Afghanistan,1,2,6,25,3
2021-08-11,Sweden,0,0,2,6,1
2021-08-11,Japan,8,16,18,69,10
2021-08-12,Afghanistan,1,4,4,25,3
2021-08-12,Sweden,0,0,1,7,1
2021-08-12,Japan,8,13,16,72,12
2021-08-13,Afghanistan,1,4,3,25,4
2021-08-13,Sweden,0,0,1,7,1
2021-08-13,Japan,8,12,11,71,19
2021-08-14,Afghanistan,1,3,2,26,5
2021-08-14,Sweden,0,0,0,7,2
2021-08-14,Japan,8,11,9,73,20
2021-08-15,Afghanistan,1,3,1,27,5
2021-08-15,Sweden,0,0,0,7,2
2021-08-15,Japan,8,10,10,73,20
2021-08-16,Afghanistan,1,3,1,27,5
2021-08-16,Sweden,0,0,0,7,2
2021-08-16,Japan,8,9,8,74,22
2021-08-17,Afghanistan,1,3,1,27,5
2021-08-17,Sweden,0,0,0,7,2
2021-08-17,Japan,8,8,8,74,23
2021-08-18,Afghanistan,1,3,1,27,5
2021-08-18,Sweden,0,1,0,6,2
2021-08-18,Japan,8,24,6,59,24
2021-08-19,Afghanistan,1,6,1,24,5
2021-08-19,Sweden,0,1,1,5,2
2021-08-19,Japan,8,24,11,52,26
2021-08-20,Afghanistan,1,4,4,23,5
2021-08-20,Sweden,0,1,1,5,2
2021-08-20,Japan,8,25,13,49,26
2021-08-21,Afghanistan,1,6,5,20,5
2021-08-21,Sweden,0,2,1,4,2
2021-08-21,Japan,8,24,16,47,26
2021-08-22,Afghanistan,1,8,6,16,6
2021-08-22,Sweden,0,2,1,4,2
2021-08-22,Japan,8,22,22,43,26
2021-08-23,Afghanistan,1,9,6,16,5
2021-08-23,Sweden,0,2,0,5,2
2021-08-23,Japan,8,17,24,41,31
2021-08-24,Afghanistan,1,7,5,18,6
2021-08-24,Sweden,0,2,0,5,2
2021-08-24,Japan,10,16,24,43,28
2021-08-25,Afghanistan,1,5,7,19,5
2021-08-25,Sweden,0,2,0,6,1
2021-08-25,Japan,12,18,21,44,26
2021-08-26,Afghanistan,1,8,5,18,5
2021-08-26,Sweden,0,2,0,6,1
2021-08-26,Japan,13,15,20,46,27
2021-08-27,Afghanistan,2,6,8,17,4
2021-08-27,Sweden,0,2,0,6,1
2021-08-27,Japan,14,14,11,56,26
2021-08-28,Afghanistan,2,6,6,18,5
2021-08-28,Sweden,0,3,0,6,0
2021-08-28,Japan,15,11,11,57,27
2021-08-29,Afghanistan,2,3,6,19,7
2021-08-29,Sweden,0,1,2,6,0
2021-08-29,Japan,15,7,13,58,28
2021-08-30,Afghanistan,2,3,7,18,7
2021-08-30,Sweden,0,1,2,6,0
2021-08-30,Japan,16,6,10,60,29
2021-08-31,Afghanistan,2,3,4,21,7
2021-08-31,Sweden,0,1,2,6,0
2021-08-31,Japan,16,5,11,61,28
2021-09-01,Afghanistan,2,4,4,20,7
2021-09-01,Sweden,0,1,2,6,0
2021-09-01,Japan,17,5,8,63,28
2021-09-02,Afghanistan,2,4,1,22,8
2021-09-02,Sweden,0,1,0,7,1
2021-09-02,Japan,18,5,5,64,29
2021-09-03,Afghanistan,2,4,0,22,9
2021-09-03,Sweden,0,1,0,7,1
2021-09-03,Japan,18,4,4,64,31
2021-09-04,Afghanistan,2,4,1,21,9
2021-09-04,Sweden,0,1,0,7,1
2021-09-04,Japan,18,4,2,65,32
2021-09-05,Afghanistan,2,4,1,22,8
2021-09-05,Sweden,0,1,0,7,1
2021-09-05,Japan,18,1,6,64,32
2021-09-06,Afghanistan,2,4,1,22,8
2021-09-06,Sweden,0,1,0,7,1
2021-09-06,Japan,20,1,5,70,25
2021-09-07,Afghanistan,2,3,2,24,6
2021-09-07,Sweden,0,1,0,7,1
2021-09-07,Japan,20,2,4,70,25
2021-09-08,Afghanistan,2,3,1,24,7
2021-09-08,Sweden,0,1,0,7,1
2021-09-08,Japan,20,2,4,72,23
2021-09-09,Afghanistan,2,3,1,24,7
2021-09-09,Sweden,0,1,0,7,1
2021-09-09,Japan,20,2,0,79,20
2021-09-10,Afghanistan,2,2,2,24,7
2021-09-10,Sweden,0,0,1,7,1
2021-09-10,Japan,22,2,0,83,14
2021-09-11,Afghanistan,2,2,1,27,5
2021-09-11,Sweden,0,0,1,7,1
2021-09-11,Japan,22,2,0,85,12
2021-09-12,Afghanistan,2,3,1,28,3
2021-09-12,Sweden,0,0,1,7,1
2021-09-12,Japan,22,2,0,86,11
2021-09-13,Afghanistan,2,3,1,28,3
2021-09-13,Sweden,0,0,1,7,1
2021-09-13,Japan,23,2,0,88,8
2021-09-14,Afghanistan,2,2,1,29,3
2021-09-14,Sweden,0,0,0,8,1
2021-09-14,Japan,23,2,0,88,8
2021-09-15,Afghanistan,2,2,1,29,3
2021-09-15,Sweden,0,0,0,8,1
2021-09-15,Japan,23,2,0,89,7
2021-09-16,Afghanistan,2,2,1,30,2
2021-09-16,Sweden,0,0,0,9,0
2021-09-16,Japan,24,2,0,91,4
2021-09-17,Afghanistan,2,2,1,31,1
2021-09-17,Sweden,0,0,0,9,0
2021-09-17,Japan,25,2,0,92,2
2021-09-18,Afghanistan,2,2,0,32,1
2021-09-18,Sweden,0,0,0,9,0
2021-09-18,Japan,25,2,0,93,1
2021-09-19,Afghanistan,2,1,1,32,1
2021-09-19,Sweden,0,0,0,9,0
2021-09-19,Japan,25,1,1,93,1
2021-09-20,Afghanistan,2,1,1,32,1
2021-09-20,Sweden,0,0,0,9,0
2021-09-20,Japan,25,1,1,93,1
2021-09-21,Afghanistan,2,1,1,32,1
2021-09-21,Sweden,0,0,0,9,0
2021-09-21,Japan,25,1,1,94,0
2021-09-22,Afghanistan,2,0,2,33,0
2021-09-22,Sweden,0,0,0,9,0
2021-09-22,Japan,25,0,2,94,0
2021-09-23,Afghanistan,2,0,1,33,1
2021-09-23,Sweden,0,0,0,9,0
2021-09-23,Japan,25,0,1,94,1
2021-09-24,Afghanistan,2,0,1,33,1
2021-09-24,Sweden,0,0,0,9,0
2021-09-24,Japan,25,0,1,94,1
2021-09-25,Afghanistan,2,0,1,33,1
2021-09-25,Sweden,0,0,0,9,0
2021-09-25,Japan,25,0,1,94,1
2021-09-26,Afghanistan,2,0,0,34,1
2021-09-26,Sweden,0,0,0,9,0
2021-09-26,Japan,25,0,0,95,1
2021-09-27,Afghanistan,2,0,0,34,1
2021-09-27,Sweden,0,0,0,9,0
2021-09-27,Japan,25,0,0,95,1
2021-09-28,Afghanistan,2,0,0,34,1
2021-09-28,Sweden,0,0,0,9,0
2021-09-28,Japan,25,0,0,95,1
2021-09-29,Afghanistan,2,0,0,34,1
2021-09-29,Sweden,0,0,0,9,0
2021-09-29,Japan,25,0,0,95,1
2021-09-30,Afghanistan,2,0,0,34,1
2021-09-30,Sweden,0,0,0,9,0
2021-09-30,Japan,25,0,0,95,1
2021-10-01,Afghanistan,2,0,0,34,1
2021-10-01,Sweden,0,0,0,9,0
2021-10-01,Japan,25,0,0,95,1
2021-10-02,Afghanistan,2,0,0,34,1
2021-10-02,Sweden,0,0,0,9,0
2021-10-02,Japan,25,0,0,95,1
2021-10-03,Afghanistan,2,0,0,34,1
2021-10-03,Sweden,0,0,0,9,0
2021-10-03,Japan,25,0,0,95,1
2021-10-04,Afghanistan,2,0,0,34,1
2021-10-04,Sweden,0,0,0,9,0
2021-10-04,Japan,25,0,0,95,1
2021-10-05,Afghanistan,2,0,0,34,1
2021-10-05,Sweden,0,0,0,9,0
2021-10-05,Japan,25,0,0,95,1
2021-10-06,Afghanistan,2,0,0,34,1
2021-10-06,Sweden,0,0,0,9,0
2021-10-06,Japan,25,0,0,95,1
2021-10-07,Afghanistan,2,0,0,35,0
2021-10-07,Sweden,0,0,0,9,0
2021-10-07,Japan,25,0,0,96,0
2021-10-08,Afghanistan,2,0,0,35,0
2021-10-08,Sweden,0,0,0,9,0
2021-10-08,Japan,25,0,0,96,0
2021-10-09,Afghanistan,2,0,0,35,0
2021-10-09,Sweden,0,0,0,9,0
2021-10-09,Japan,25,0,0,96,0
2021-10-10,Afghanistan,2,0,0,35,0
2021-10-10,Sweden,0,0,0,9,0
2021-10-10,Japan,25,0,0,96,0
2021-10-11,Afghanistan,2,0,0,35,0
2021-10-11,Sweden,0,0,0,9,0
2021-10-11,Japan,25,0,0,96,0
2021-10-12,Afghanistan,2,0,0,35,0
2021-10-12,Sweden,0,0,0,9,0
2021-10-12,Japan,25,0,0,96,0
2021-10-13,Afghanistan,2,0,0,35,0
2021-10-13,Sweden,0,0,0,9,0
2021-10-13,Japan,25,0,0,96,0
2021-10-14,Afghanistan,2,0,0,35,0
2021-10-14,Sweden,0,0,0,9,0
2021-10-14,Japan,25,0,0,96,0
2021-10-15,Afghanistan,2,0,0,35,0
2021-10-15,Sweden,0,0,0,9,0
2021-10-15,Japan,25,0,0,96,0
2021-10-16,Afghanistan,2,0,0,35,0
2021-10-16,Sweden,0,0,0,9,0
2021-10-16,Japan,25,0,0,96,0
2021-10-17,Afghanistan,2,0,0,35,0
2021-10-17,Sweden,0,0,0,9,0
2021-10-17,Japan,25,0,0,96,0
2021-10-18,Afghanistan,2,0,0,35,0
2021-10-18,Sweden,0,0,0,9,0
2021-10-18,Japan,25,0,0,96,0
2021-10-19,Afghanistan,2,0,0,35,0
2021-10-19,Sweden,0,0,0,9,0
2021-10-19,Japan,25,0,0,96,0
2021-10-20,Afghanistan,2,0,0,35,0
2021-10-20,Sweden,0,0,0,9,0
2021-10-20,Japan,25,0,0,96,0
2021-10-21,Afghanistan,2,0,0,35,0
2021-10-21,Sweden,0,0,0,9,0
2021-10-21,Japan,25,0,0,96,0
2021-10-22,Afghanistan,2,0,0,35,0
2021-10-22,Sweden,0,0,0,9,0
2021-10-22,Japan,25,0,0,96,0
2021-10-23,Afghanistan,2,0,0,35,0
2021-10-23,Sweden,0,0,0,9,0
2021-10-23,Japan,25,0,0,96,0
2021-10-24,Afghanistan,2,0,0,35,0
2021-10-24,Sweden,0,0,0,9,0
2021-10-24,Japan,25,0,0,96,0
2021-10-25,Afghanistan,2,0,0,35,0
2021-10-25,Sweden,0,0,0,9,0
2021-10-25,Japan,25,0,0,96,0
2021-10-26,Afghanistan,2,0,0,35,0
